a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2025,1761,CCGL,3,1,1,FRI,16,5,16,45,267237,423426,2,30, , , , , , , , , , 
2025,1762,ANTN,2,3,1,FRI,16,5,18,48,327137,388884,13,60,1,1,1,1,2,1,1,1,1,1
2025,1763,MEAN,1,1,1,FRI,16,5,18,52,313458,409247,13,60,1,1,1,1,2,1,1,1,1,1
2025,1764,ARND,3,2,1,FRI,16,5,19,21,350207,378581,13,40, , , , , , , , , , 
2025,1765,LISC,3,2,1,FRI,16,5,21,8,319841,366131,13,60, , , , , , , , , , 
2025,1766,BELC,3,2,2,FRI,16,5,20,10,331637,376332,13,30, , , , , , , , , , 
2025,1767,ANTN,3,1,1,SAT,17,5,0,18,324364,386269,11,50, , , , , , , , , , 
2025,1768,FERO,3,1,1,SAT,17,5,0,53,214313,353802,13,60, , , , , , , , , , 
2025,1769,NEMD,3,1,1,SAT,17,5,2,37,337156,331541,13,30, , , , , , , , , , 
2025,1770,ARBC,3,2,1,SAT,17,5,10,53,301827,344765,13,50, , , , , , , , , , 
2025,1771,BELC,3,2,1,SAT,17,5,11,20,333183,373299,13,30, , , , , , , , , , 
2025,1772,LISC,3,2,1,SAT,17,5,11,33,321989,362898,13,60, , , , , , , , , , 
2025,1773,ANTN,3,2,1,SAT,17,5,12,7,315069,387127,13,30, , , , , , , , , , 
2025,1774,ARBC,3,2,2,SAT,17,5,15,5,302138,355205,1,30, , , , , , , , , , 
2025,1775,NEMD,3,2,5,SAT,17,5,15,10,335145,333370,13,60, , , , , , , , , , 
2025,1776,ARND,3,2,1,SAT,17,5,15,5,348051,374268,13,30, , , , , , , , , , 
2025,1777,MEAN,2,2,1,SAT,17,5,16,11,345000,397020,13,60,1,1,1,1,2,1,1,1,1,1
2025,1778,BELC,3,3,3,SAT,17,5,17,49,332778,375408,13,30, , , , , , , , , , 
2025,1779,FERO,3,3,5,SAT,17,5,18,0,224559,366203,13,60, , , , , , , , , , 
2025,1780,CCGL,2,1,1,SAT,17,5,20,25,285725,430793,13,30,3,7,1,9,2,1,1,1,1,1
2025,1781,DCST,3,2,4,SAT,17,5,22,10,244815,421884,13,60, , , , , , , , , , 
2025,1782,ARND,2,1,2,SAT,17,5,23,6,359757,375969,13,30,12,7,1,1,4,1,1,1,1,1
2025,1783,ARND,3,2,1,SUN,18,5,1,17,346507,369330,13,30, , , , , , , , , , 
2025,1784,BELC,3,2,1,SUN,18,5,2,18,334195,377101,13,30, , , , , , , , , , 
2025,1785,NEMD,2,2,1,SUN,18,5,10,2,352579,346989,13,30,1,1,1,1,3,1,1,1,1,1
2025,1786,BELC,2,1,1,SUN,18,5,12,37,332960,374773,13,30,1,1,1,1,1,1,1,1,1,1
2025,1787,DCST,2,2,3,SUN,18,5,13,48,247577,419472,11,50,6,7,1,1,2,1,1,1,1,1
2025,1788,MEAN,2,2,4,SUN,18,5,13,55,338871,402423,13,30,12,7,1,1,1,1,1,1,1,1
2025,1789,BELC,3,2,1,SUN,18,5,14,8,333795,374754,13,30, , , , , , , , , , 
2025,1790,FERO,2,2,2,SUN,18,5,16,0,239311,362200,13,60,1,1,1,1,2,1,1,1,1,1
